review_id,feature,opinion,sentiment,token,engagement
109,0,milk,coconut,wfWyNItGcRo,0,"what can i use instead of coconut milk, almond butter and cottage cheese"
115,0,combos,best,wfWyNItGcRo,1,The best combos that I have seen was at Smoothie advantage (just google it) it was the most helpful ideas that I got to work for me.
115,0,work,got,wfWyNItGcRo,1,The best combos that I have seen was at Smoothie advantage (just google it) it was the most helpful ideas that I got to work for me.
121,0,calorie,low,wfWyNItGcRo,-1,is this low calorie I'm new to this sorry
122,1,work,much,wfWyNItGcRo,0,You literally don't taste it and why not get some greens into your body without having to do much work for it!
126,0,weight,losing,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,healthy,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,work,need,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,work,need,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,losing,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,healthy,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,losing,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,healthy,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,losing,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
126,0,weight,healthy,ovbM7F-L10k,-1,"My height is 6'00 and I have a large frame when I was young I use this shakes scandiet and lost like 125 pounds, when I was around 255 pounds I notice I stop losing weight like for 2 streak week I was 255 pounds and I was like jees what happen with this shakes they are not working anymore or I just need to work more harder to lose weight?, anyways thanks for this video answered all my questions, my healthy weight is around 215-225, now I want to lose weight again"
127,1,protein,excess,ovbM7F-L10k,1,excellent video very knowledgeable ...just 1 thing we hardly pee any excess protein unless we have nephritic or nephrotic syndrome.....we poop protein out or it undergoes neoglucogenesis to synthesize glucose under the influence of glucagon
127,1,protein,excess,ovbM7F-L10k,1,excellent video very knowledgeable ...just 1 thing we hardly pee any excess protein unless we have nephritic or nephrotic syndrome.....we poop protein out or it undergoes neoglucogenesis to synthesize glucose under the influence of glucagon
128,1,gut,human,ovbM7F-L10k,-2,"Chlorine is a natural anti-septic that harms the human gut and destroys micro-flora leading to candida formation, irritable bowel syndrome, ulcerative colitis, Crohn's disease, obesity and cachexia."
129,0,fats,excess,ovbM7F-L10k,1,Ive hear some fantastic stuff about it and my friends brother burned alot of excess fats
130,0,things,amazing,ovbM7F-L10k,1,Ive heard a number of amazing things about it and my mate burned lots of excess fats with it...
130,0,fats,excess,ovbM7F-L10k,1,Ive heard a number of amazing things about it and my mate burned lots of excess fats with it...
131,0,things,fantastic,ovbM7F-L10k,1,Ive hear some fantastic things about it and my sister burned alot of excess fats.
131,0,fats,excess,ovbM7F-L10k,1,Ive hear some fantastic things about it and my sister burned alot of excess fats.
141,0,effects,unsafe,ovbM7F-L10k,0,Pills & drugs will come with unsafe side effects.
149,3,purchase,flavored,Tv-ik3NCcP0,0,"You talk about processed oats but you buy processed protein, artificially flavored!"
149,3,milk,own,Tv-ik3NCcP0,0,Use nut milk or make your own nut milk or use coconut water or water.
149,3,milk,own,Tv-ik3NCcP0,0,Use nut milk or make your own nut milk or use coconut water or water.
149,3,water,coconut,Tv-ik3NCcP0,0,Use nut milk or make your own nut milk or use coconut water or water.
149,3,water,coconut,Tv-ik3NCcP0,0,Use nut milk or make your own nut milk or use coconut water or water.
149,3,protein,soluble,Tv-ik3NCcP0,0,Manitoba harvest makes a water soluble hemp protein--hemp pro 70.
149,3,water,raw,Tv-ik3NCcP0,0,"Or you can use the one I'll soon be using from bulk hemp warehouse, organic raw water soluble hemp protein."
149,3,water,organic,Tv-ik3NCcP0,0,"Or you can use the one I'll soon be using from bulk hemp warehouse, organic raw water soluble hemp protein."
149,3,protein,soluble,Tv-ik3NCcP0,0,"Or you can use the one I'll soon be using from bulk hemp warehouse, organic raw water soluble hemp protein."
163,0,review,Great,Tv-ik3NCcP0,2,Great review keep up the great work this helps
163,0,work,great,Tv-ik3NCcP0,2,Great review keep up the great work this helps
175,0,working,more,t8NCigh54jg,-1,This is the type of shit that the government feeds their citizens in movies about a dystopian future where everyone is enslaved to the government so that they spend less time eating and more time working.
179,0,shopping,dumb,t8NCigh54jg,0,People must be just dumb with their shopping if they cant find better prices for the same thing.
179,0,prices,better,t8NCigh54jg,0,People must be just dumb with their shopping if they cant find better prices for the same thing.
179,0,thing,same,t8NCigh54jg,0,People must be just dumb with their shopping if they cant find better prices for the same thing.
181,2,ingredients,healthy,t8NCigh54jg,1,"If he were to add vitamins, minerals, actually healthy ingredients it would increase the costs and he seems more interested in making a quick buck."
181,2,work,dont,t8NCigh54jg,0,Liquid diets dont work.
181,2,food,starved,t8NCigh54jg,-1,"In the end, these fools look like starved prisoners ... the lethargy ... the glazed look in their eyes ... the obsession with food."
183,0,trier,need,yvT_M68a6og,0,I definitely need to try harder with the next batch I get!
185,0,things,top,yvT_M68a6og,1,Search top 5 things you need to know about soylent if interested.
188,0,food,nice,yvT_M68a6og,1,"One day I had to run to an after school event with my son and I knew I wouldn't be able to grab dinner, so this was a nice in an emergency food source."
190,0,bottle,maple,yvT_M68a6og,1,"This seems like a really useful resource, but I'm also someone who prefers things to be sweet-do you think that it would be good just by adding some cinnamon and maybe maple syrup or something to the bottle and shaking it in the bottle?"
190,0,bottle,maple,yvT_M68a6og,1,"This seems like a really useful resource, but I'm also someone who prefers things to be sweet-do you think that it would be good just by adding some cinnamon and maybe maple syrup or something to the bottle and shaking it in the bottle?"
190,0,products,new,yvT_M68a6og,0,"I don't even know if I'll try it or not, but I like finding out about new vegan products and I'm finding it a bit hard to eat enough because I'm in college (the caf does have a vegan station but it serves small portions, and it's weird but I get bored of eating after a certain point)."
194,0,protein,high,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
194,0,calories,not added,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
194,0,sugar,added,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
194,0,calories,not added,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
194,0,sugar,added,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
194,0,packaging,minimal,yvT_M68a6og,2,"Take a look at huel Huel is 100% vegan (better for the environment and animals) super convenient, high in protein (148g per 2000 calories) and fibre (35g), contains just 4.6 grams of sugar per 2000 calories (no added sugar), requires minimal packaging and has a shelf-life of 12 months (so zero food waste)."
198,0,powder,great,yvT_M68a6og,2,"The powder is great, you can just add it to your smoothie for extra nutrition."
198,0,nutrition,extra,yvT_M68a6og,2,"The powder is great, you can just add it to your smoothie for extra nutrition."
205,0,food,wrong,T6so1-q4WZU,-1,Whats wrong with real food?
207,0,flavor,not bad,T6so1-q4WZU,1,The flavor isn't bad and it takes care of the most difficult meal of the day for me.
207,0,meal,difficult,T6so1-q4WZU,1,The flavor isn't bad and it takes care of the most difficult meal of the day for me.
207,0,meal,easy,T6so1-q4WZU,0,If you're looking for a quick and easy (yet nutritious) meal I'd recommend Coffiest!
207,0,meal,quick,T6so1-q4WZU,0,If you're looking for a quick and easy (yet nutritious) meal I'd recommend Coffiest!
207,0,meal,nutritious,T6so1-q4WZU,0,If you're looking for a quick and easy (yet nutritious) meal I'd recommend Coffiest!
208,0,bag,pinched,T6so1-q4WZU,0,"easy way to fill: just pinch the top of the bag, place the cup around the pinched bag, and flip."
208,0,bag,pinched,T6so1-q4WZU,0,"easy way to fill: just pinch the top of the bag, place the cup around the pinched bag, and flip."
213,0,food,undirected,T6so1-q4WZU,0,"Think about it, you have pounds of undirected food in your system, this cleans it out."
215,2,effects,bad,T6so1-q4WZU,-1,People have done 30 days with zero bad effects.
215,2,mixing,messy,T6so1-q4WZU,0,"They now make it premixed, so the messy mixing is gone."
226,0,food,teens,oELvF591xpE,-1,teens vs food: weird gatorades
227,0,ingredient,DUCK,oELvF591xpE,0,The ingredient is DUCK!
243,0,effects,negative,5T8AlLUeUPg,0,It has estrogen imitating hormones that have negative effects in males and females.
247,0,meals,not regular,5T8AlLUeUPg,1,I would never replace my regular meals for a something like this.
248,0,products,better,5T8AlLUeUPg,-1,is this better than Shakeology or Herbalife products?
258,0,thing,boring,5T8AlLUeUPg,0,that looks like the most boring thing ever
262,0,people,angry,5T8AlLUeUPg,-1,Pretty sad that people are angry at you because you are Vegan.
262,0,life,most,5T8AlLUeUPg,2,"I have been Vegetarian most of my life, I eat delicious food all the time here in California, I guess most people don't notice Vegetarian food is available in nearly every store."
262,0,food,available,5T8AlLUeUPg,2,"I have been Vegetarian most of my life, I eat delicious food all the time here in California, I guess most people don't notice Vegetarian food is available in nearly every store."
262,0,people,most,5T8AlLUeUPg,2,"I have been Vegetarian most of my life, I eat delicious food all the time here in California, I guess most people don't notice Vegetarian food is available in nearly every store."
262,0,food,available,5T8AlLUeUPg,2,"I have been Vegetarian most of my life, I eat delicious food all the time here in California, I guess most people don't notice Vegetarian food is available in nearly every store."
262,0,amount,frozen,5T8AlLUeUPg,0,"When you head to Walmart look in the frozen sections for the vast amount of Vegetarian burger patties, chicken nuggets, bacon, sea food, and more."
262,0,amount,vast,5T8AlLUeUPg,0,"When you head to Walmart look in the frozen sections for the vast amount of Vegetarian burger patties, chicken nuggets, bacon, sea food, and more."
262,0,love,used,5T8AlLUeUPg,2,"I suppose restaurants depend more on location, a friend of mine who used to love meat, turned Vegetarian a couple years back."
266,0,drink,oz,KRRgAPgGu5E,2,"I choked down a case I had purchased from Amazon, I ended up flavoring it with those 16.9 oz water drink mixes to mute the chalky finish, do not recommend."
269,0,food,real,KRRgAPgGu5E,1,I like real food.
274,0,milk,liquid,KRRgAPgGu5E,-3,This is disgusting... drinking nothing but cherrio liquid milk all day long?
274,0,milk,cherrio,KRRgAPgGu5E,-3,This is disgusting... drinking nothing but cherrio liquid milk all day long?
274,0,nutrients,TRUE,KRRgAPgGu5E,-1,your breath will stink over time and you are lacking in TRUE nutrients.
277,0,taste,fond,KRRgAPgGu5E,2,Not too fond of the taste.
286,0,food,solid,7fU87vCCylo,0,"my mom had to give up solid food for 3 weeks, she had gastric bypass so she did it to shirnk her liver"
303,0,nutrients,better,A155Ir-afL0,1,"Save time, energy, and hopefully take in better nutrients than what I have been, which shouldn't be difficult."
304,0,anything,sharp,A155Ir-afL0,0,If anything my memory is as sharp as ever.
308,0,foods,whole,A155Ir-afL0,0,"There are over 100,000 micronutrients found in whole foods."
310,0,drink,cheaper,A155Ir-afL0,0,have you found it cheaper to drink soylent
317,0,foods,real,A155Ir-afL0,0,How has you gastrointestinal health been since you left real whole foods?
317,0,foods,whole,A155Ir-afL0,0,How has you gastrointestinal health been since you left real whole foods?
322,0,food,natural,BuQk6N0ooQI,0,i will stick to natural food.
329,0,food,most,BuQk6N0ooQI,0,"Fresh Smoothies by day & soups by night, is how I do it, because these days most food makes me feel ill, what with aspartame & fake ingredients replacing good ones."
329,0,feel,ill,BuQk6N0ooQI,0,"Fresh Smoothies by day & soups by night, is how I do it, because these days most food makes me feel ill, what with aspartame & fake ingredients replacing good ones."
329,0,ingredients,fake,BuQk6N0ooQI,0,"Fresh Smoothies by day & soups by night, is how I do it, because these days most food makes me feel ill, what with aspartame & fake ingredients replacing good ones."
329,0,ingredients,few,BuQk6N0ooQI,0,Research just a few ingredients on your usual food & you will be surprised!
329,0,food,usual,BuQk6N0ooQI,0,Research just a few ingredients on your usual food & you will be surprised!
330,0,food,solid,BuQk6N0ooQI,0,Your body was designed to take in solid food of different varieties.
332,0,brands,other,BuQk6N0ooQI,0,"If you are considering trying soylent you should check out the other brands of soylent, most don't have as much of an overdue waiting list then the brand you see on this video."
332,0,brand,other,BuQk6N0ooQI,0,"If you are considering trying soylent you should check out the other brands of soylent, most don't have as much of an overdue waiting list then the brand you see on this video."
332,0,calories,extra,BuQk6N0ooQI,0,And if you live an active lifestyle one brand has a sports version of their soylent that has extra calories and protein.
336,2,taste,good,BuQk6N0ooQI,2,It is pretty good and the taste is like if you eat a bowl of cheerios and drink the leftover milk
336,2,taste,like,BuQk6N0ooQI,2,It is pretty good and the taste is like if you eat a bowl of cheerios and drink the leftover milk
340,0,carbs,different,BuQk6N0ooQI,0,"what if you go to the gym everyone needs different carbs,fats, and protien also I need 3500 calories to builed muscle ."
343,0,chalky,super,8q0m9hb3ABw,2,I got a huel sample and it was super chalky.
343,0,thing,only,8q0m9hb3ABw,0,it was the only thing that put me off.
344,1,water,much,8q0m9hb3ABw,0,You use WAY too much water.
345,0,loss,more,8q0m9hb3ABw,-1,"Good job, keep it up I am also using it for weight loss, but I need to document more weight loss more"
345,0,loss,more,8q0m9hb3ABw,-1,"Good job, keep it up I am also using it for weight loss, but I need to document more weight loss more"
346,0,things,good,8q0m9hb3ABw,1,"Good stuff, 0.5kg with 1 exercise and nothing in-between is a good sign for things to come."
351,0,meals,other,mgxgU0kFGu4,0,"I've put in an order, and I primarily plan on replacing my breakfast, other meals only if I don't have time for it"
353,2,drink,not whilst,mgxgU0kFGu4,1,Hey..don't drive whilst drinking at the same time!
353,2,drinking,whilst,mgxgU0kFGu4,1,Hey..don't drive whilst drinking at the same time!
378,0,feel,weird,HkMRD8mZ6mU,1,"for me joylent has a texture kinda like oatmeal, but less gooy, it just feels weird on the tongue ^^"
381,7,products,powdered,HkMRD8mZ6mU,1,Links to their sites would be useful :| This site have lots of information about different powdered food products: See how easy that was?
381,7,sugar,low,HkMRD8mZ6mU,-1,Having low blood sugar at the time doesn't help either.
382,5,thing,important,HkMRD8mZ6mU,0,"Ehm you forgot the most important thing to compare, nutrition composition."
383,0,food,real,HkMRD8mZ6mU,1,"Like Soylent, Queal, and Jake, but made of real food."
385,0,digest,able,HkMRD8mZ6mU,0,"There's a high chance your body won't be getting anything from the seeds at all, because flaeed needs to be ground for your body to be able to digest it."
386,2,powder,thick,HkMRD8mZ6mU,1,"I've tried queal and I didn't like it that much because the powder just didn't dissolve that easy, it felt to me like a mix of water and thick lumps of powder."
386,2,powder,thick,HkMRD8mZ6mU,1,"I've tried queal and I didn't like it that much because the powder just didn't dissolve that easy, it felt to me like a mix of water and thick lumps of powder."
386,2,texture,smooth,HkMRD8mZ6mU,2,"On the contrary, Joylent dissolves very easily after a couple of shakes, giving it a very smooth and creamy texture that is just very enjoyable to drink."
386,2,texture,creamy,HkMRD8mZ6mU,2,"On the contrary, Joylent dissolves very easily after a couple of shakes, giving it a very smooth and creamy texture that is just very enjoyable to drink."
386,2,drink,enjoyable,HkMRD8mZ6mU,2,"On the contrary, Joylent dissolves very easily after a couple of shakes, giving it a very smooth and creamy texture that is just very enjoyable to drink."
387,0,bit,little,j1RAqX_qhbQ,0,"We have a lot of similar choices in terms of the travel gears (Outlier, UTLab, Buff, etc) I did a little bit of research and found Ambronite as it is made of all organic ingredients."
387,0,ingredients,organic,j1RAqX_qhbQ,0,"We have a lot of similar choices in terms of the travel gears (Outlier, UTLab, Buff, etc) I did a little bit of research and found Ambronite as it is made of all organic ingredients."
387,0,meals,pricier,j1RAqX_qhbQ,0,"However they are on the pricier sides of replacement meals, what do you think of them?"
388,0,review,not milligrams,j1RAqX_qhbQ,2,"Haha, I hope at 2:09 you didn't intend to say ""milligrams"" Good review; cheers."
388,0,review,not Good,j1RAqX_qhbQ,2,"Haha, I hope at 2:09 you didn't intend to say ""milligrams"" Good review; cheers."
388,0,smell,bad,j1RAqX_qhbQ,-1,"When left to go bad, it releases gas, smells bad, and tastes sour."
388,0,taste,sour,j1RAqX_qhbQ,-1,"When left to go bad, it releases gas, smells bad, and tastes sour."
388,0,taste,funny,j1RAqX_qhbQ,1,"It tends to head in this direction rather quickly; even when leaving it sealed in the fridge in the morning, it starts to taste a little funny by the evening."
388,0,taste,starts,j1RAqX_qhbQ,1,"It tends to head in this direction rather quickly; even when leaving it sealed in the fridge in the morning, it starts to taste a little funny by the evening."
388,0,mix,tend,j1RAqX_qhbQ,2,"I tend to mix breakfast and lunch in the morning, and leave the latter portion in my bag until lunch, which works out fine."
388,0,bag,latter,j1RAqX_qhbQ,2,"I tend to mix breakfast and lunch in the morning, and leave the latter portion in my bag until lunch, which works out fine."
390,0,smell,strong,j1RAqX_qhbQ,2,"They only have it in vanilla flavoring which smells pretty strong, but it is really not intrusive taste wise."
390,0,taste,wise,j1RAqX_qhbQ,2,"They only have it in vanilla flavoring which smells pretty strong, but it is really not intrusive taste wise."
390,0,feel,mushy,j1RAqX_qhbQ,2,It feels way less artificial than Joylent being mushy and having whole seeds in it.
390,0,feel,artificial,j1RAqX_qhbQ,2,It feels way less artificial than Joylent being mushy and having whole seeds in it.
392,20,meals,enjoyable,UtRL-MZMtVU,2,"Also makes regular meals more enjoyable because they become special again, in stead of that thing you do because of survival"
394,0,meal,full,egKv2TBkPBU,2,Do this mean I can drink Joylent with a full meal?
408,0,meals,many,KLtS8D-q0Ps,2,"i Wonder how many ""meals"" you could have made instead of this vlog... hahaah good luck though dude."
408,0,luck,good,KLtS8D-q0Ps,2,"i Wonder how many ""meals"" you could have made instead of this vlog... hahaah good luck though dude."
408,0,luck,hahaah,KLtS8D-q0Ps,2,"i Wonder how many ""meals"" you could have made instead of this vlog... hahaah good luck though dude."
408,0,powder,typical,KLtS8D-q0Ps,2,hope its cheaper than typical carb powder.
408,0,powder,cheaper,KLtS8D-q0Ps,2,hope its cheaper than typical carb powder.
410,0,amount,small,KLtS8D-q0Ps,1,I suppose a small amount of chocolate powder could be added to improve the taste.
410,0,powder,small,KLtS8D-q0Ps,1,I suppose a small amount of chocolate powder could be added to improve the taste.
410,0,melioration,added,KLtS8D-q0Ps,1,I suppose a small amount of chocolate powder could be added to improve the taste.
410,0,sugar,low,KLtS8D-q0Ps,-1,It's quite low in sugar anyway and might improve the adjustment.
424,0,water,more,KLtS8D-q0Ps,0,Just put more water in it that won't ruin anything
425,0,thing,whole,KLtS8D-q0Ps,0,I watched this whole thing in my shower
427,0,food,boring,g4lSGg5R2R4,-1,If that's the future of food then it's going to be a boring future!
437,0,product,brilliant,eNAauKLwy8A,2,"Can I just say, the Huel flavours are like, the most British flavours I've ever seen for a meal replacement / protein powder type product (or any product, really) with ""rhubarb custard"" and ""toffee"" it's brilliant I love it"
437,0,product,brilliant,eNAauKLwy8A,2,"Can I just say, the Huel flavours are like, the most British flavours I've ever seen for a meal replacement / protein powder type product (or any product, really) with ""rhubarb custard"" and ""toffee"" it's brilliant I love it"
439,1,taste,better,eNAauKLwy8A,0,It tastes a bit better with some chocolate powder.
439,1,powder,better,eNAauKLwy8A,0,It tastes a bit better with some chocolate powder.
439,1,meal,next,eNAauKLwy8A,0,Looking forward to my next meal.
439,1,diet,good,eNAauKLwy8A,1,"I try to have a good diet, but I've just got so tired of preparing a load of vegetables for my evening meal, especially during summer."
440,0,taste,alright,eNAauKLwy8A,1,I think it tastes alright but I'm use to rubbish flavoured vegan protein powders lol.
440,0,powders,rubbish,eNAauKLwy8A,1,I think it tastes alright but I'm use to rubbish flavoured vegan protein powders lol.
440,0,powders,flavoured,eNAauKLwy8A,1,I think it tastes alright but I'm use to rubbish flavoured vegan protein powders lol.
441,0,review,great,eNAauKLwy8A,2,"great review, thanks."
443,2,review,Good,eNAauKLwy8A,1,Good review
446,0,powder,healthy,9HOblwxXJJg,0,healthy powder mixed with shitty fluoride tap water ... sounds good .
446,0,water,shitty,9HOblwxXJJg,0,healthy powder mixed with shitty fluoride tap water ... sounds good .
449,0,problems,such,9HOblwxXJJg,-1,I have no such problems.
449,0,calorie,more,9HOblwxXJJg,1,"and another point 3 ""level"" scoops 114g aprox but your scoops where more like 50g each so 150g, very inaccurate calorie count over a long period."
451,0,food,normal,9HOblwxXJJg,0,Is the idea of this instead of eating normal food?
451,0,food,eating,9HOblwxXJJg,0,Is the idea of this instead of eating normal food?
