"","index","asin","feature","helpful","opinion","overall","sentiment","token","unixReviewTime","feature_LEMMA","opinion_LEMMA","feature_STEM","opinion_STEM","cluster_number_set","cluster_number_feature","cluster_number_opinion"
"13",2,"B0006PQQDO","diet","[0, 0]","best",5,1,"For those who haven't had the best diet, it can cause mild cramping for a few days until your intestinal system clears of trash, and re-establishes with healthy flora and fauna, so should follow bottle instructions and start with a half or one, then work up to whatever dosage is right for you (I take two a day with meals).",1397088000,"diet","best","diet","best","0","1","1"
"14",3,"B0006PQQDO","supplement","[1, 1]","good",5,1,"The Primal Defense is a good probiotic supplement with homeostatic soil organism.",1370822400,"supplement","good","supplement","good","1","1","1"
"15",3,"B0006PQQDO","supplement","[1, 1]","probiotic",5,1,"The Primal Defense is a good probiotic supplement with homeostatic soil organism.",1370822400,"supplement","probiotic","supplement","probiot","0","1","0"
"16",3,"B0006PQQDO","organism","[1, 1]","homeostatic",5,1,"The Primal Defense is a good probiotic supplement with homeostatic soil organism.",1370822400,"organism","homeostatic","organ","homeostat","0","0","0"
"17",3,"B0006PQQDO","organism","[1, 1]","probiotic",5,1,"The Primal Defense is a good probiotic supplement with homeostatic soil organism.",1370822400,"organism","probiotic","organ","probiot","0","0","0"
"18",3,"B0006PQQDO","organism","[1, 1]","good",5,1,"The Primal Defense is a good probiotic supplement with homeostatic soil organism.",1370822400,"organism","good","organ","good","0","0","1"
"19",4,"B0006PQQDO","process","[3, 3]","long",3,0,"I know it's a long process to fix this condition so I plan to continue taking these for a while in case they are doing something.",1326153600,"process","long","process","long","0","0","0"
"20",5,"B0006PQQDO","probiotics","[3, 4]","best",5,1,"Primal Defense - one of the best probiotics on the market",1357948800,"probiotic","best","probiot","best","0","0","1"
"21",5,"B0006PQQDO","antibiotics","[3, 4]","nasty",5,-1,"I take it myself and recently my husband has started taking it for a bought of bad tummy troubles after being on some nasty antibiotics.",1357948800,"antibiotic","nasty","antibiot","nasti","0","0","0"
"22",6,"B0006PQQDO","probiotics","[0, 0]","better",5,0,"They seem to be one of the better probiotics  that I have found.",1398643200,"probiotic","good","probiot","better","0","0","1"
"23",7,"B0006PQQDO","products","[1, 1]","different",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","different","product","differ","1","1","1"
"24",7,"B0006PQQDO","products","[1, 1]","probiotic",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","probiotic","product","probiot","0","1","0"
"25",7,"B0006PQQDO","products","[1, 1]","several",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","several","product","sever","0","1","1"
"26",7,"B0006PQQDO","reviews","[1, 1]","positive",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"review","positive","review","posit","0","1","0"
"27",7,"B0006PQQDO","powder","[1, 1]","nutritional",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"powder","nutritional","powder","nutrit","0","1","1"
"28",7,"B0006PQQDO","brand","[1, 1]","same",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"brand","same","brand","same","0","1","1"
"29",7,"B0006PQQDO","product","[1, 1]","probiotic",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","probiotic","product","probiot","0","1","0"
"30",7,"B0006PQQDO","product","[1, 1]","several",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","several","product","sever","0","1","1"
"31",7,"B0006PQQDO","product","[1, 1]","different",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"product","different","product","differ","1","1","1"
"32",7,"B0006PQQDO","results","[1, 1]","best",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"result","best","result","best","0","1","1"
"33",7,"B0006PQQDO","results","[1, 1]","empty",5,2,"I have used several different probiotic products over the years, and I was drawn to this one for the positive reviews, and after a week using this, I noticed a difference (in my regularity).I'm also using the nutritional powder by the same brand, so that may be adding to the effects, but I'm also noticing my skin looks smoother and I just feel better overall.You are supposed to take this product on an empty stomach for best results.",1376092800,"result","empty","result","empti","0","1","0"
"34",8,"B0006PQQDO","probiotics","[0, 0]","big",5,1,"This one has a big variety of probiotics and is well rated.",1400198400,"probiotic","big","probiot","big","0","0","1"
"35",9,"B0006PQQDO","probiotics","[1, 1]","different",5,0,"I have tried many many many different probiotics in the past 4 years, and there are only two that have given me noticeable results.",1382054400,"probiotic","different","probiot","differ","0","0","1"
"36",9,"B0006PQQDO","probiotics","[1, 1]","many",5,0,"I have tried many many many different probiotics in the past 4 years, and there are only two that have given me noticeable results.",1382054400,"probiotic","many","probiot","mani","0","0","1"
"37",9,"B0006PQQDO","results","[1, 1]","noticeable",5,0,"I have tried many many many different probiotics in the past 4 years, and there are only two that have given me noticeable results.",1382054400,"result","noticeable","result","notic","0","1","0"
"38",9,"B0006PQQDO","people","[1, 1]","different",5,1,"Keep in mind that different people need different bacteria to function well, so give this a shot and just see how it goes.",1382054400,"people","different","peopl","differ","0","0","1"
"39",9,"B0006PQQDO","office","[1, 1]","need",5,1,"Keep in mind that different people need different bacteria to function well, so give this a shot and just see how it goes.",1382054400,"office","need","offic","need","0","0","0"
"40",10,"B0006PQQDO","products","[3, 3]","refrigerated",5,0,"Remember how we used to have to get these products refrigerated?",1367107200,"product","refrigerated","product","refriger","0","1","0"
"41",10,"B0006PQQDO","food","[3, 3]","perishable",5,0,"This is a non perishable food to nurish intestinal flora.",1367107200,"food","perishable","food","perish","0","0","0"
"42",10,"B0006PQQDO","food","[3, 3]","non",5,0,"This is a non perishable food to nurish intestinal flora.",1367107200,"food","non","food","non","0","0","0"
"43",10,"B0006PQQDO","food","[3, 3]","difficult",5,0,"Helps your stomach tackle difficult food to digest too.",1367107200,"food","difficult","food","difficult","0","0","0"
"44",11,"B0006PQQDO","probiotic","[1, 4]","wonderful",5,2,"wonderful probiotic",1236384000,"probiotic","wonderful","probiot","wonder","0","0","0"
"45",11,"B0006PQQDO","probiotic","[1, 4]","wonderful",5,2,"This is a wonderful probiotic.",1236384000,"probiotic","wonderful","probiot","wonder","0","0","0"
"46",13,"B0006PQQDO","reviews","[1, 1]","many",5,2,"I purchased this one because of the many positive reviews.",1374537600,"review","many","review","mani","0","1","1"
"47",13,"B0006PQQDO","reviews","[1, 1]","positive",5,2,"I purchased this one because of the many positive reviews.",1374537600,"review","positive","review","posit","0","1","0"
"48",13,"B0006PQQDO","review","[1, 1]","positive",5,2,"Now after using it for the past two months I think I can also leave a positive review.",1374537600,"review","positive","review","posit","0","1","0"
"49",13,"B0006PQQDO","carbs","[1, 1]","excess",5,0,"My skin got to the point that if I would eat excess carbs at all I would get get acne.",1374537600,"carbs","excess","carb","excess","0","0","0"
"50",13,"B0006PQQDO","things","[1, 1]","crave",5,-3,"This probiotic gives me the freedom to crave things and not worry that my skin is going to horrible the next few days after.",1374537600,"thing","crave","thing","crave","0","1","0"
"51",13,"B0006PQQDO","dieting","[1, 1]","enough",5,-1,"I've done enough dieting and cleansing to know what works and what doesn't and the fact is, probiotics work for me, no doubt a bout it.",1374537600,"dieting","enough","diet","enough","0","0","0"
"52",15,"B0006PQQDO","energy","[1, 1]","more",5,2,"It's Garden of Life's probiotic and taking it gives you a bit more energy and in a very gentle way improves your digestion...until the end, should I say.",1383696000,"energy","more","energi","more","1","1","1"
"53",16,"B0006PQQDO","product","[0, 0]","great",5,2,"A great product I have used for years",1403481600,"product","great","product","great","1","1","1"
"54",16,"B0006PQQDO","products","[0, 0]","probiotic",5,0,"I use a variety of probiotic products, but this is one that I keep using off and on.",1403481600,"product","probiotic","product","probiot","0","1","0"
"55",19,"B0006PQQDO","probiotics","[6, 7]","efficacious",5,0,"One of the most efficacious, inexpensive and easily storable probiotics!",1252713600,"probiotic","efficacious","probiot","efficaci","0","0","0"
"56",19,"B0006PQQDO","probiotics","[6, 7]","inexpensive",5,0,"One of the most efficacious, inexpensive and easily storable probiotics!",1252713600,"probiotic","inexpensive","probiot","inexpens","0","0","0"
"57",19,"B0006PQQDO","probiotics","[6, 7]","storable",5,0,"One of the most efficacious, inexpensive and easily storable probiotics!",1252713600,"probiotic","storable","probiot","storabl","0","0","0"
"58",19,"B0006PQQDO","probiotics","[6, 7]","efficacious",5,1,"One of the most efficacious, inexpensive and easily storable (most good quality ones have to be refrigerated) probiotics!",1252713600,"probiotic","efficacious","probiot","efficaci","0","0","0"
"59",19,"B0006PQQDO","probiotics","[6, 7]","inexpensive",5,1,"One of the most efficacious, inexpensive and easily storable (most good quality ones have to be refrigerated) probiotics!",1252713600,"probiotic","inexpensive","probiot","inexpens","0","0","0"
"60",19,"B0006PQQDO","probiotics","[6, 7]","storable",5,1,"One of the most efficacious, inexpensive and easily storable (most good quality ones have to be refrigerated) probiotics!",1252713600,"probiotic","storable","probiot","storabl","0","0","0"
"61",21,"B0006PQQDO","product","[1, 1]","Great",5,2,"Great product.",1375228800,"product","great","product","great","1","1","1"
"62",22,"B0006PQQDO","supplement","[0, 0]","helpful",4,0,"Garden of Life Primal Defense Nutritional Supplement, 45 Count is a helpful supplement which a bit pricey and works.",1399334400,"supplement","helpful","supplement","help","0","1","0"
"63",22,"B0006PQQDO","function","[0, 0]","regular",4,1,"The HSO probiotic blend in primal defense Contains probiotics that promote regular bowel function and help maintain an already healthy immune systemMaximizes the benefits of a healthy diet by supporting normal absorption and assimilation of nutrient.",1399334400,"function","regular","function","regular","0","0","1"
"64",22,"B0006PQQDO","diet","[0, 0]","healthy",4,1,"The HSO probiotic blend in primal defense Contains probiotics that promote regular bowel function and help maintain an already healthy immune systemMaximizes the benefits of a healthy diet by supporting normal absorption and assimilation of nutrient.",1399334400,"diet","healthy","diet","healthi","1","1","1"
"65",22,"B0006PQQDO","absorption","[0, 0]","normal",4,1,"The HSO probiotic blend in primal defense Contains probiotics that promote regular bowel function and help maintain an already healthy immune systemMaximizes the benefits of a healthy diet by supporting normal absorption and assimilation of nutrient.",1399334400,"absorption","normal","absorpt","normal","0","0","0"
"66",22,"B0006PQQDO","nutrient","[0, 0]","normal",4,1,"The HSO probiotic blend in primal defense Contains probiotics that promote regular bowel function and help maintain an already healthy immune systemMaximizes the benefits of a healthy diet by supporting normal absorption and assimilation of nutrient.",1399334400,"nutrient","normal","nutrient","normal","0","0","0"
"67",23,"B0006PQQDO","bloating","[0, 1]","worse",1,-2,"This is my personal response to Primal Defense and I understand that everyone is different:I have taken Garden of Life's Primal Defense in powder and capsule form, taken 3 times daily as the bottle states, and it made my bloating much worse.",1375056000,"bloating","bad","bloat","wors","0","0","2"
"68",23,"B0006PQQDO","powder","[0, 1]","rancid",1,-2,"Of all of the probiotics I've tried, Primal Defense was the only one that actually caused harm.The taste is that of rancid hemp powder (gritty, earthy, dry)I have heard that sometimes your gastro symptoms worsen when you start a probiotic because it's your body flushing out the bad bacteria.",1375056000,"powder","rancid","powder","rancid","0","1","0"
"69",23,"B0006PQQDO","probiotics","[0, 1]","raw",1,1,"I have not found any scholarly articles that back this up and until proven otherwise I must disagree with this hypothesis.I've used Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and the only success I've had is with Thorne Floramend.I have been struggling with bloating and malabsorption for over 2 years (due to auto-immune illness lupus, and candida).",1375056000,"probiotic","raw","probiot","raw","0","0","0"
"70",23,"B0006PQQDO","meals","[0, 1]","small",1,1,"I could eat 1 cucumber slice and bloat up like a pregnant woman.After 1 month of taking Thorne Floramend daily (always with food, as the bottle states) I have been able to eat 3 small meals a day!",1375056000,"meal","small","meal","small","0","0","1"
"71",23,"B0006PQQDO","probiotics","[0, 1]","raw",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"probiotic","raw","probiot","raw","0","0","0"
"72",23,"B0006PQQDO","probiotics","[0, 1]","other",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"probiotic","other","probiot","other","0","0","1"
"73",23,"B0006PQQDO","capsule","[0, 1]","resistant",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"capsule","resistant","capsul","resist","0","0","0"
"74",23,"B0006PQQDO","capsule","[0, 1]","acid",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"capsule","acid","capsul","acid","0","0","0"
"75",23,"B0006PQQDO","capsules","[0, 1]","acid",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"capsule","acid","capsul","acid","0","0","0"
"76",23,"B0006PQQDO","capsules","[0, 1]","resistant",1,-2,"There was no ""bad bacteria die off reaction"", only steady progress towards a healthy gut.I've done 5, 10, 50, 80, 100, and 200 billion organism preparations of Ultimate Flora, Jarrow, Garden of Life raw probiotics, PB 8, and others, and have come to understand that the amount of organisms is not what's important, it's the ability for the capsule to pass into the small intestine without being destroyed by your stomach acid.Thorne uses acid resistant capsules (surprisingly most other probiotics do not).",1375056000,"capsule","resistant","capsul","resist","0","0","0"
"77",26,"B0006PQQDO","product","[1, 2]","helpful",5,0,"A helpful product",1362355200,"product","helpful","product","help","0","1","0"
"78",27,"B0006PQQDO","brand","[1, 1]","different",4,0,"My GI system seems more stable after switching to these from a different brand.",1367712000,"brand","different","brand","differ","1","1","1"
"79",28,"B0006PQQDO","vitamins","[21, 23]","wide",5,0,"I have tried all sorts of supplements (and still take a wide range of vitamins and antioxidants).",1224028800,"vitamin","wide","vitamin","wide","0","0","0"
"80",29,"B0006PQQDO","products","[3, 3]","great",5,2,"Love this company, all great products",1321488000,"product","great","product","great","1","1","1"
"81",29,"B0006PQQDO","effect","[3, 3]","same",5,0,"Its a stronger one than Jarrows and I need less of it to get the same effect.",1321488000,"effect","same","effect","same","0","0","1"
"82",30,"B0006PQQDO","cravings","[24, 26]","reduced",5,0,"reduced food cravings",1240444800,"craving","reduced","crave","reduc","0","0","0"
"83",30,"B0006PQQDO","cravings","[24, 26]","constant",5,-3,"I knew something was not right with my digestion...for years, even decades I had constant food cravings and abdominal pain.",1240444800,"craving","constant","crave","constant","0","0","0"
"84",30,"B0006PQQDO","appetite","[24, 26]","normal",5,2,"I have a normal appetite, I feel full after a modest meal and I am actually able to walk past delicious food because I am not hungry.",1240444800,"appetite","normal","appetit","normal","0","0","0"
"85",30,"B0006PQQDO","feel","[24, 26]","full",5,2,"I have a normal appetite, I feel full after a modest meal and I am actually able to walk past delicious food because I am not hungry.",1240444800,"feel","full","feel","full","0","1","0"
"86",30,"B0006PQQDO","meal","[24, 26]","modest",5,2,"I have a normal appetite, I feel full after a modest meal and I am actually able to walk past delicious food because I am not hungry.",1240444800,"meal","modest","meal","modest","0","0","0"
"87",30,"B0006PQQDO","food","[24, 26]","delicious",5,2,"I have a normal appetite, I feel full after a modest meal and I am actually able to walk past delicious food because I am not hungry.",1240444800,"food","delicious","food","delici","0","0","2"
"88",30,"B0006PQQDO","symptoms","[24, 26]","similar",5,1,"My doctor has been impressed with the results and has recommended these to his patients with similar symptoms",1240444800,"symptom","similar","symptom","similar","0","0","0"
"89",31,"B0006PQQDO","product","[90, 104]","large",1,-3,"I've suffered through years of digestive disorders and bought a large 'stockpile' of this product, believing it would help.",1179964800,"product","large","product","larg","0","1","0"
"90",31,"B0006PQQDO","supplement","[90, 104]","cheap",1,0,"This is not a cheap supplement either!",1179964800,"supplement","cheap","supplement","cheap","0","1","0"
"91",31,"B0006PQQDO","trier","[90, 104]","need",1,0,"Perhaps I need to try the 'Ultra' formula, but at this point I'm pretty jaded/doubtful it will work.UPDATE: June, 2008:While I appreciate the comments of some well-wishers (Lindsay, Richard, S. Malette; thank you :) ), I think it's important to realize that there is no such thing as a 'magic bullet' that works on everyone when it comes to probiotics, no matter how well-made or high quality the product might be.",1179964800,"trier","need","trier","need","0","1","0"
"92",31,"B0006PQQDO","thing","[90, 104]","such",1,0,"Perhaps I need to try the 'Ultra' formula, but at this point I'm pretty jaded/doubtful it will work.UPDATE: June, 2008:While I appreciate the comments of some well-wishers (Lindsay, Richard, S. Malette; thank you :) ), I think it's important to realize that there is no such thing as a 'magic bullet' that works on everyone when it comes to probiotics, no matter how well-made or high quality the product might be.",1179964800,"thing","such","thing","such","0","1","0"
"93",31,"B0006PQQDO","quality","[90, 104]","well-made",1,0,"Perhaps I need to try the 'Ultra' formula, but at this point I'm pretty jaded/doubtful it will work.UPDATE: June, 2008:While I appreciate the comments of some well-wishers (Lindsay, Richard, S. Malette; thank you :) ), I think it's important to realize that there is no such thing as a 'magic bullet' that works on everyone when it comes to probiotics, no matter how well-made or high quality the product might be.",1179964800,"quality","well-made","qualiti","well-mad","0","1","0"
"94",31,"B0006PQQDO","quality","[90, 104]","high",1,0,"Perhaps I need to try the 'Ultra' formula, but at this point I'm pretty jaded/doubtful it will work.UPDATE: June, 2008:While I appreciate the comments of some well-wishers (Lindsay, Richard, S. Malette; thank you :) ), I think it's important to realize that there is no such thing as a 'magic bullet' that works on everyone when it comes to probiotics, no matter how well-made or high quality the product might be.",1179964800,"quality","high","qualiti","high","1","1","1"
"95",31,"B0006PQQDO","product","[90, 104]","wrong",1,-1,"There was nothing wrong with the product or how I was using it.",1179964800,"product","wrong","product","wrong","0","1","0"
"96",31,"B0006PQQDO","probiotic","[90, 104]","different",1,0,"Period.I have since found a completely different probiotic that does work!",1179964800,"probiotic","different","probiot","differ","0","0","1"
"97",31,"B0006PQQDO","probiotics","[90, 104]","highest",1,2,"Mercola recommends it to all his patients because he's found it has the highest success rate of all probiotics he's tested.",1179964800,"probiotic","high","probiot","highest","0","0","1"
"98",32,"B0006PQQDO","sufferers","[0, 0]","good",5,-1,"I think they are really good for IBD sufferers.",1392681600,"sufferer","good","suffer","good","0","0","1"
"99",32,"B0006PQQDO","probiotics","[0, 0]","cheap",5,0,"These HSO probiotics are about as cheap as they get.",1392681600,"probiotic","cheap","probiot","cheap","0","0","0"
"100",33,"B0006PQQDO","work","[1, 1]","fine",5,1,"So I guess it works just fine as a ""defense"".",1254960000,"work","fine","work","fine","0","1","2"
"101",34,"B0006PQQDO","works","[0, 8]","sure",5,0,"Its sure works for us",1339977600,"work","sure","work","sure","0","1","0"
"102",34,"B0006PQQDO","water","[0, 8]","clean",5,0,"So far this product has kept the water relatively clean yet not crystal clean.",1339977600,"water","clean","water","clean","0","1","0"
"103",34,"B0006PQQDO","product","[0, 8]","more",5,0,"I would sense we can start to add more of the product to see if they helps the water clarity even more.",1339977600,"product","more","product","more","0","1","1"
"104",34,"B0006PQQDO","work","[0, 8]","seems",5,2,"Yet, we are really pleased to find something that seems to work and is safe for all the wildlife that use the foundations as their water source.",1339977600,"work","seems","work","seem","1","1","1"
"105",34,"B0006PQQDO","work","[0, 8]","safe",5,2,"Yet, we are really pleased to find something that seems to work and is safe for all the wildlife that use the foundations as their water source.",1339977600,"work","safe","work","safe","0","1","0"
"106",37,"B000GIPIY4","powder","[0, 0]","best",5,1,"This is by far the best protein powder that I have found so far.",1392768000,"powder","best","powder","best","1","1","1"
"107",37,"B000GIPIY4","taste","[0, 0]","better",5,0,"It tastes much better than all the rest that I have found.",1392768000,"taste","good","tast","better","1","1","1"
"108",37,"B000GIPIY4","intolerant","[0, 0]","lactose",5,1,"It also works the best for those of use who are lactose intolerant.",1392768000,"intolerant","lactose","intoler","lactos","1","1","1"
"109",39,"B000GIPIY4","taste","[0, 0]","great",5,3,"This stuff tastes pretty great compared to some of the other protein products on the market.",1398384000,"taste","great","tast","great","1","1","1"
"110",39,"B000GIPIY4","products","[0, 0]","other",5,3,"This stuff tastes pretty great compared to some of the other protein products on the market.",1398384000,"product","other","product","other","1","1","1"
"111",39,"B000GIPIY4","calories","[0, 0]","extra",5,1,"Really mixes well with some peanut butter and almond milk if you need extra calories too.",1398384000,"calorie","extra","calori","extra","0","1","1"
"112",40,"B000GIPIY4","taste","[0, 0]","great",5,2,"It mixes so well and taste great.",1399766400,"taste","great","tast","great","1","1","1"
"113",40,"B000GIPIY4","flavor","[0, 0]","unbelievable",5,0,"But I will also make a banana protein pudding and the flavor is unbelievable.",1399766400,"flavor","unbelievable","flavor","unbeliev","0","1","0"
"114",41,"B000GIPIY4","product","[0, 0]","Great",5,2,"Great product",1343174400,"product","great","product","great","1","1","1"
"115",41,"B000GIPIY4","milk","[0, 0]","unsweetened",5,1,"In an 8 oz glass I fill it 3/4 with unsweetened chocolate almond milk which is hardly any calories or carbs, put in one scoop of this protein powder and a few drops of Sweetleaf chocolate flavor sweetener which is 0 calories or carbs and I have a fantastic protein shake every morning which keeps me full until around 2:00 at which time I have a healthy lunch then a light meal for dinner.",1343174400,"milk","unsweetened","milk","unsweeten","0","1","0"
"116",41,"B000GIPIY4","sweetener","[0, 0]","few",5,1,"In an 8 oz glass I fill it 3/4 with unsweetened chocolate almond milk which is hardly any calories or carbs, put in one scoop of this protein powder and a few drops of Sweetleaf chocolate flavor sweetener which is 0 calories or carbs and I have a fantastic protein shake every morning which keeps me full until around 2:00 at which time I have a healthy lunch then a light meal for dinner.",1343174400,"sweetener","few","sweeten","few","0","1","0"
"117",41,"B000GIPIY4","meal","[0, 0]","light",5,1,"In an 8 oz glass I fill it 3/4 with unsweetened chocolate almond milk which is hardly any calories or carbs, put in one scoop of this protein powder and a few drops of Sweetleaf chocolate flavor sweetener which is 0 calories or carbs and I have a fantastic protein shake every morning which keeps me full until around 2:00 at which time I have a healthy lunch then a light meal for dinner.",1343174400,"meal","light","meal","light","0","0","0"
"118",42,"B000GIPIY4","powder","[0, 0]","amazing",5,2,"This powder in vanilla custard is amazing.",1357171200,"powder","amazing","powder","amaz","0","1","2"
"119",42,"B000GIPIY4","taste","[0, 0]","wonderful",5,1,"It mixes up well (blender or shaker) and tastes wonderful.",1357171200,"taste","wonderful","tast","wonder","0","1","0"
"120",43,"B000GIPIY4","nutrition","[0, 0]","optimum",3,2,"I love optimum nutrition and think they are one of the better supplement makers out there.",1366243200,"nutrition","optimum","nutrit","optimum","1","1","1"
